,content_usage.last_accessed_date,content_usage.content_id,content_usage.content_title,content_usage.content_type
0,2021-02-24,22,bug_dash,dashboard
1,2021-02-24,23,test,dashboard
2,2021-02-17,10,10,dashboard
3,2021-02-17,11,11,dashboard
4,2021-02-17,12,12,dashboard
5,2021-02-17,13,13,dashboard
6,2021-02-17,15,15,dashboard
7,2021-02-17,16,16,dashboard
8,2021-02-17,17,17,dashboard
9,2021-02-17,18,18,dashboard
10,2021-02-17,19,19,dashboard
11,2021-02-17,4,4,dashboard
12,2021-02-17,5,5,dashboard
13,2021-02-17,6,6,dashboard
14,2021-02-17,8,8,dashboard
15,2021-02-17,9,9,dashboard
16,2021-02-16,3,3,dashboard
17,2021-02-13,2,2,dashboard
