,dashboard_id,element_id,fields_used,used_joins,used_view_names,unused_joins
0,6,301,"[""order_items.dynamic_measure"", ""order_items.pre_post""]","['public.order_items', 'public.inventory_items']","['order_items', 'inventory_items']","['distribution_centers', 'order_facts', 'products', 'repeat_purchase_facts', 'user_order_facts', 'users']"
1,6,302,"[""order_items.created_week"", ""order_items.total_sale_price""]","['public.order_items', 'public.inventory_items']","['order_items', 'inventory_items']","['distribution_centers', 'order_facts', 'products', 'repeat_purchase_facts', 'user_order_facts', 'users']"
2,6,1610,"[""users.count"", ""users.created_second""]","['N', 'o', ' ', 'C', 'o', 'n', 't', 'e', 'n', 't']","['N', 'o', ' ', 'C', 'o', 'n', 't', 'e', 'n', 't']","['events', 'events', 'events', 'product_viewed', 'products', 'session_bounce_page', 'session_landing_page', 'sessions', 'user_order_facts', 'users']"
3,7,43,"[""order_items.count""]",['public.order_items'],['order_items'],"['distribution_centers', 'inventory_items', 'order_facts', 'products', 'repeat_purchase_facts', 'user_order_facts', 'users']"
4,9,53,"[""order_items.percent_returned"", ""users.city"", ""users.user_count""]","['public.order_items', 'public.inventory_items', 'public.users']","['users', 'order_items', 'inventory_items']","['distribution_centers', 'order_facts', 'products', 'repeat_purchase_facts', 'user_order_facts']"
5,9,54,"[""users.age_bucket"", ""users.user_count""]","['public.order_items', 'public.inventory_items', 'public.users']","['users', 'order_items', 'inventory_items']","['distribution_centers', 'order_facts', 'products', 'repeat_purchase_facts', 'user_order_facts']"
6,9,55,"[""order_items.total_sale_price"", ""order_items.created_date""]","['public.order_items', 'public.inventory_items']","['order_items', 'inventory_items']","['distribution_centers', 'order_facts', 'products', 'repeat_purchase_facts', 'user_order_facts', 'users']"
7,9,57,"[""order_items.total_sale_price""]","['public.order_items', 'public.inventory_items']","['order_items', 'inventory_items']","['distribution_centers', 'order_facts', 'products', 'repeat_purchase_facts', 'user_order_facts', 'users']"
8,9,58,"[""order_items.total_sale_price"", ""users.location"", ""users.city""]","['public.order_items', 'public.inventory_items', 'public.users']","['users', 'order_items', 'inventory_items']","['distribution_centers', 'order_facts', 'products', 'repeat_purchase_facts', 'user_order_facts']"
9,9,61,"[""products.brand"", ""user_rev.average_profit"", ""user_rev.average_rev""]","['public.inventory_items', 'user_rev', 'public.order_items']","['user_rev', 'order_items', 'inventory_items']","['distribution_centers', 'order_facts', 'products', 'repeat_purchase_facts', 'user_order_facts', 'users']"
10,9,73,"[""users.created_date"", ""users.user_count""]","['public.order_items', 'public.inventory_items', 'public.users']","['users', 'order_items', 'inventory_items']","['distribution_centers', 'order_facts', 'products', 'repeat_purchase_facts', 'user_order_facts']"
11,11,62,"[""users.months_since_signup"", ""user_rev.average_profit""]","['public.users', 'user_rev', 'public.order_items', 'public.inventory_items']","['user_rev', 'users', 'order_items', 'inventory_items']","['distribution_centers', 'order_facts', 'products', 'repeat_purchase_facts', 'user_order_facts']"
12,11,63,"[""users.avg_days_since_signup"", ""order_items.created_date""]","['public.order_items', 'public.inventory_items', 'public.users']","['users', 'order_items', 'inventory_items']","['distribution_centers', 'order_facts', 'products', 'repeat_purchase_facts', 'user_order_facts']"
13,11,64,"[""order_items.created_month"", ""users.traffic_source"", ""users.avg_days_since_signup""]","['public.inventory_items', 'public.order_items', 'public.users']","['users', 'order_items', 'inventory_items']","['distribution_centers', 'order_facts', 'products', 'repeat_purchase_facts', 'user_order_facts']"
14,11,65,"[""users.months_since_signup_bucket"", ""users.user_count""]","['public.order_items', 'public.inventory_items', 'public.users']","['users', 'order_items', 'inventory_items']","['distribution_centers', 'order_facts', 'products', 'repeat_purchase_facts', 'user_order_facts']"
15,11,66,"[""users.months_since_signup"", ""users.traffic_source"", ""users.user_count""]","['public.inventory_items', 'public.order_items', 'public.users']","['users', 'order_items', 'inventory_items']","['distribution_centers', 'order_facts', 'products', 'repeat_purchase_facts', 'user_order_facts']"
16,11,298,"[""order_items.percent_returned"", ""users.city"", ""users.user_count""]","['public.order_items', 'public.inventory_items', 'public.users']","['users', 'order_items', 'inventory_items']","['distribution_centers', 'order_facts', 'products', 'repeat_purchase_facts', 'user_order_facts']"
17,11,299,"[""order_items.para_measure""]",[],[],"['distribution_centers', 'inventory_items', 'order_facts', 'order_items', 'products', 'repeat_purchase_facts', 'user_order_facts', 'users']"
18,11,300,"[""order_items.percent_returned"", ""users.city"", ""users.user_count""]","['public.order_items', 'public.inventory_items', 'public.users']","['users', 'order_items', 'inventory_items']","['distribution_centers', 'order_facts', 'products', 'repeat_purchase_facts', 'user_order_facts']"
19,12,67,"[""order_items.average_sales_price"", ""order_items.created_date""]",['public.order_items'],['order_items'],"['distribution_centers', 'inventory_items', 'order_facts', 'products', 'repeat_purchase_facts', 'user_order_facts', 'users']"
20,13,68,"[""order_items.count""]",['public.order_items'],['order_items'],"['distribution_centers', 'inventory_items', 'order_facts', 'products', 'repeat_purchase_facts', 'user_order_facts', 'users']"
21,14,69,"[""order_items.delivered_month"", ""order_items.count""]",['public.order_items'],['order_items'],"['distribution_centers', 'inventory_items', 'order_facts', 'products', 'repeat_purchase_facts', 'user_order_facts', 'users']"
